Description: This is a version of the input file 'infimm1.txt'`used with the
             TB`IBM.`It specifies the probabilities of various disease states
             for migrants upon entry to the UK.`This version is ARImed,`
             and was constructed using the ARI`method for 'infimm',`using
             mid-value ARIs`for ONUK,`UK,`and SSA-born.
             for UK-born.
Label a:     Age in years
Label s:`    Sex, 0=male, 1=female
Label r:`    Region of birth, 0=ONUK-born, 1=UK-born, 2=SSA-born
Label y:`    Array index for year (0=1981)
Label q:`    Disease state, cumlative`probabilities where 0=Always 0,
             1=Uninfected, 2=Immune, 3=Recent Infection, 4=Latent Infection,
             5=Reinfection, 6=Primary Disease, 7=Reactivation Disease,
             8=Reinfection Disease

|a   |s |r |y  |q0 |q1          |q2          |q3          |q4          |q5          |q6          |q7          |q8
| 97 |0 |0 | 0 | 0 |0.002426543 |0.002426543 |0.00249465  |0.964079232 |0.994146732 |0.994162711 |0.996146378 | 1
| 98 |0 |0 | 0 | 0 |0.00197751  |0.00197751  |0.002033014 |0.964065149 |0.994146732 |0.994159755 |0.996144416 | 1
| 99 |0 |0 | 0 | 0 |0.001604107 |0.001604107 |0.00164913  |0.964053438 |0.994146732 |0.994157296 |0.996142785 | 1
|100 |0 |0 | 0 | 0 |0.001295034 |0.001295034 |0.001331382 |0.964043745 |0.994146732 |0.994155261 |0.996141435 | 1
|101 |0 |0 | 0 | 0 |0.001040423 |0.001040423 |0.001069625 |0.96403576  |0.994146732 |0.994153584 |0.996140322 | 1
|102 |0 |0 | 0 | 0 |0.000833692 |0.000833692 |0.000857091 |0.964029276 |0.994146732 |0.994152223 |0.996139419 | 1
|103 |0 |0 | 0 | 0 |0.000668038 |0.000668038 |0.000686788 |0.964024081 |0.994146732 |0.994151132 |0.996138695 | 1
|104 |0 |0 | 0 | 0 |0.0005353   |0.0005353   |0.000550324 |0.964019918 |0.994146732 |0.994150258 |0.996138115 | 1
|105 |0 |0 | 0 | 0 |0.000428936 |0.000428936 |0.000440975 |0.964016582 |0.994146732 |0.994149557 |0.99613765  | 1
|106 |0 |0 | 0 | 0 |0.000343707 |0.000343707 |0.000353354 |0.964013909 |0.994146732 |0.994148996 |0.996137278 | 1
