Dataset:     New version of inf1981.txt, altered to give SSA-born different
             probabilities for disease states (+). In the original versions, SSA-
             born and ONUK-born had the same probabilities. This is the first
             'new' version (there may be subsequent ones).
Description: This inf1981.txt file specifies the probabilities of various diseas
             for migrants upon entry to the UK.
Label a:     Age in years
Label s:     Sex, 0=male, 1=female
Label r:     Region of birth, 0=ONUK-born, 1=UK-born, 2=SSA-born
Label y:     Array index for year (0=1981)
Label q:     Disease state, cumlative probabilities where 0=Always 0,
             1=Uninfected, 2=Immune, 3=Recent Infection, 4=Latent Infection,
             5=Reinfection, 6=Primary Disease, 7=Reactivation Disease,
             8=Reinfection Disease

|a   |s |r |q1         |q2         |q3         |q4         |q5         |q6         |q7         |q8
| 98 |0 |0 |0.00147323 |0.00147323 |0.00151962 |0.96815389 |0.99933639 |0.99933746 |0.99957374 |1.
| 99 |0 |0 |0.00118649 |0.00118649 |0.00122385 |0.96814452 |0.99933639 |0.99933725 |0.9995736  |1.
|100 |0 |0 |0.00095139 |0.00095139 |0.00098135 |0.96813683 |0.99933639 |0.99933708 |0.99957349 |1.
|101 |0 |0 |0.00076235 |0.00076235 |0.00078636 |0.96813066 |0.99933639 |0.99933694 |0.9995734  |1.
|102 |0 |0 |0.00061087 |0.00061087 |0.00063011 |0.96812571 |0.99933639 |0.99933683 |0.99957333 |1.
|103 |0 |0 |0.00048949 |0.00048949 |0.00050491 |0.96812174 |0.99933639 |0.99933674 |0.99957327 |1.
|104 |0 |0 |0.00039223 |0.00039223 |0.00040458 |0.96811856 |0.99933639 |0.99933667 |0.99957323 |1.
|105 |0 |0 |0.0003143  |0.0003143  |0.00032419 |0.96811601 |0.99933639 |0.99933662 |0.99957319 |1.
|106 |0 |0 |0.00025184 |0.00025184 |0.00025978 |0.96811397 |0.99933639 |0.99933657 |0.99957316 |1.
|107 |0 |0 |0.0002018  |0.0002018  |0.00020816 |0.96811234 |0.99933639 |0.99933653 |0.99957314 |1.
|108 |0 |0 |0.00016171 |0.00016171 |0.0001668  |0.96811103 |0.99933639 |0.9993365  |0.99957312 |1.
